Element,Item,Year,Unit,Value
Production,Rice (Milled Equivalent),2009,1000 tonnes,90494
Production,Rice (Milled Equivalent),2010,1000 tonnes,96023
Production,Rice (Milled Equivalent),2011,1000 tonnes,105319
Production,Rice (Milled Equivalent),2012,1000 tonnes,105253
Production,Rice (Milled Equivalent),2013,1000 tonnes,106186
Import Quantity,Rice (Milled Equivalent),2007,1000 tonnes,22
Import Quantity,Rice (Milled Equivalent),2008,1000 tonnes,12
Import Quantity,Rice (Milled Equivalent),2009,1000 tonnes,41
Import Quantity,Rice (Milled Equivalent),2010,1000 tonnes,11
Import Quantity,Rice (Milled Equivalent),2011,1000 tonnes,12
Import Quantity,Rice (Milled Equivalent),2012,1000 tonnes,4
Import Quantity,Rice (Milled Equivalent),2013,1000 tonnes,5
Stock Variation,Rice (Milled Equivalent),2007,1000 tonnes,0
Stock Variation,Rice (Milled Equivalent),2008,1000 tonnes,-4000
Stock Variation,Rice (Milled Equivalent),2009,1000 tonnes,4000
Stock Variation,Rice (Milled Equivalent),2010,1000 tonnes,500
Stock Variation,Rice (Milled Equivalent),2011,1000 tonnes,-5000
Stock Variation,Rice (Milled Equivalent),2012,1000 tonnes,0
Stock Variation,Rice (Milled Equivalent),2013,1000 tonnes,0
Export Quantity,Rice (Milled Equivalent),2007,1000 tonnes,6490
Export Quantity,Rice (Milled Equivalent),2008,1000 tonnes,2514
Export Quantity,Rice (Milled Equivalent),2009,1000 tonnes,2181
Export Quantity,Rice (Milled Equivalent),2010,1000 tonnes,2264
Export Quantity,Rice (Milled Equivalent),2011,1000 tonnes,5045
Export Quantity,Rice (Milled Equivalent),2012,1000 tonnes,10501
Export Quantity,Rice (Milled Equivalent),2013,1000 tonnes,11337
Domestic supply quantity,Rice (Milled Equivalent),2007,1000 tonnes,89960
Domestic supply quantity,Rice (Milled Equivalent),2008,1000 tonnes,92237
Domestic supply quantity,Rice (Milled Equivalent),2009,1000 tonnes,92354
Domestic supply quantity,Rice (Milled Equivalent),2010,1000 tonnes,94270
Domestic supply quantity,Rice (Milled Equivalent),2011,1000 tonnes,95287
Domestic supply quantity,Rice (Milled Equivalent),2012,1000 tonnes,94756
Domestic supply quantity,Rice (Milled Equivalent),2013,1000 tonnes,94854
Feed,Rice (Milled Equivalent),2007,1000 tonnes,1929
Feed,Rice (Milled Equivalent),2008,1000 tonnes,1975
Feed,Rice (Milled Equivalent),2009,1000 tonnes,1810
Feed,Rice (Milled Equivalent),2010,1000 tonnes,1920
Feed,Rice (Milled Equivalent),2011,1000 tonnes,2106
Feed,Rice (Milled Equivalent),2012,1000 tonnes,2105
Feed,Rice (Milled Equivalent),2013,1000 tonnes,2124
Seed,Rice (Milled Equivalent),2007,1000 tonnes,2278
Seed,Rice (Milled Equivalent),2008,1000 tonnes,2097
Seed,Rice (Milled Equivalent),2009,1000 tonnes,2144
Seed,Rice (Milled Equivalent),2010,1000 tonnes,2200
Seed,Rice (Milled Equivalent),2011,1000 tonnes,2122
Seed,Rice (Milled Equivalent),2012,1000 tonnes,2198
Seed,Rice (Milled Equivalent),2013,1000 tonnes,2171
Losses,Rice (Milled Equivalent),2007,1000 tonnes,2893
Losses,Rice (Milled Equivalent),2008,1000 tonnes,2962
Losses,Rice (Milled Equivalent),2009,1000 tonnes,2715
Losses,Rice (Milled Equivalent),2010,1000 tonnes,2881
Losses,Rice (Milled Equivalent),2011,1000 tonnes,4213
Losses,Rice (Milled Equivalent),2012,1000 tonnes,3158
Losses,Rice (Milled Equivalent),2013,1000 tonnes,3186
Processing,Rice (Milled Equivalent),2007,1000 tonnes,333
Processing,Rice (Milled Equivalent),2008,1000 tonnes,346
Processing,Rice (Milled Equivalent),2009,1000 tonnes,360
Processing,Rice (Milled Equivalent),2010,1000 tonnes,341
Processing,Rice (Milled Equivalent),2011,1000 tonnes,369
Processing,Rice (Milled Equivalent),2012,1000 tonnes,362
Processing,Rice (Milled Equivalent),2013,1000 tonnes,368
Food,Rice (Milled Equivalent),2007,1000 tonnes,82527
Food,Rice (Milled Equivalent),2008,1000 tonnes,84858
Food,Rice (Milled Equivalent),2009,1000 tonnes,85325
Food,Rice (Milled Equivalent),2010,1000 tonnes,86928
Food,Rice (Milled Equivalent),2011,1000 tonnes,86478
Food,Rice (Milled Equivalent),2012,1000 tonnes,86933
Food,Rice (Milled Equivalent),2013,1000 tonnes,87006
Food supply quantity (kg/capita/yr),Rice (Milled Equivalent),2007,kg,71.2
Food supply quantity (kg/capita/yr),Rice (Milled Equivalent),2008,kg,72.24
Food supply quantity (kg/capita/yr),Rice (Milled Equivalent),2009,kg,71.69
Food supply quantity (kg/capita/yr),Rice (Milled Equivalent),2010,kg,72.1
Food supply quantity (kg/capita/yr),Rice (Milled Equivalent),2011,kg,70.82
Food supply quantity (kg/capita/yr),Rice (Milled Equivalent),2012,kg,70.3
Food supply quantity (kg/capita/yr),Rice (Milled Equivalent),2013,kg,69.49
Food supply (kcal/capita/day),Rice (Milled Equivalent),2007,kcal/capita/day,706
Food supply (kcal/capita/day),Rice (Milled Equivalent),2008,kcal/capita/day,717
Food supply (kcal/capita/day),Rice (Milled Equivalent),2009,kcal/capita/day,711
Food supply (kcal/capita/day),Rice (Milled Equivalent),2010,kcal/capita/day,715
Food supply (kcal/capita/day),Rice (Milled Equivalent),2011,kcal/capita/day,703
Food supply (kcal/capita/day),Rice (Milled Equivalent),2012,kcal/capita/day,697
Food supply (kcal/capita/day),Rice (Milled Equivalent),2013,kcal/capita/day,689
Protein supply quantity (g/capita/day),Rice (Milled Equivalent),2007,g/capita/day,13.27
Protein supply quantity (g/capita/day),Rice (Milled Equivalent),2008,g/capita/day,13.47
Protein supply quantity (g/capita/day),Rice (Milled Equivalent),2009,g/capita/day,13.36
Protein supply quantity (g/capita/day),Rice (Milled Equivalent),2010,g/capita/day,13.44
Protein supply quantity (g/capita/day),Rice (Milled Equivalent),2011,g/capita/day,13.2
Protein supply quantity (g/capita/day),Rice (Milled Equivalent),2012,g/capita/day,13.1
Protein supply quantity (g/capita/day),Rice (Milled Equivalent),2013,g/capita/day,12.96
Fat supply quantity (g/capita/day),Rice (Milled Equivalent),2007,g/capita/day,1.57
Fat supply quantity (g/capita/day),Rice (Milled Equivalent),2008,g/capita/day,1.59
Fat supply quantity (g/capita/day),Rice (Milled Equivalent),2009,g/capita/day,1.58
Fat supply quantity (g/capita/day),Rice (Milled Equivalent),2010,g/capita/day,1.58
Fat supply quantity (g/capita/day),Rice (Milled Equivalent),2011,g/capita/day,1.56
Fat supply quantity (g/capita/day),Rice (Milled Equivalent),2012,g/capita/day,1.54
Fat supply quantity (g/capita/day),Rice (Milled Equivalent),2013,g/capita/day,1.53
Production,Barley and products,2007,1000 tonnes,1330
Production,Barley and products,2008,1000 tonnes,1200
Production,Barley and products,2009,1000 tonnes,1689
Production,Barley and products,2010,1000 tonnes,1355
Production,Barley and products,2011,1000 tonnes,1663
Production,Barley and products,2012,1000 tonnes,1620
Production,Barley and products,2013,1000 tonnes,1750
Import Quantity,Barley and products,2007,1000 tonnes,9
Import Quantity,Barley and products,2008,1000 tonnes,6
Import Quantity,Barley and products,2009,1000 tonnes,4
Import Quantity,Barley and products,2010,1000 tonnes,5
Import Quantity,Barley and products,2011,1000 tonnes,6
Import Quantity,Barley and products,2012,1000 tonnes,41
Import Quantity,Barley and products,2013,1000 tonnes,12
Stock Variation,Barley and products,2007,1000 tonnes,0
Stock Variation,Barley and products,2008,1000 tonnes,0
Stock Variation,Barley and products,2009,1000 tonnes,0
Stock Variation,Barley and products,2010,1000 tonnes,0
Stock Variation,Barley and products,2011,1000 tonnes,-13
Stock Variation,Barley and products,2012,1000 tonnes,-8
Stock Variation,Barley and products,2013,1000 tonnes,20
Export Quantity,Barley and products,2007,1000 tonnes,350
Export Quantity,Barley and products,2008,1000 tonnes,169
Export Quantity,Barley and products,2009,1000 tonnes,57
Export Quantity,Barley and products,2010,1000 tonnes,39
Export Quantity,Barley and products,2011,1000 tonnes,48
Export Quantity,Barley and products,2012,1000 tonnes,120
Export Quantity,Barley and products,2013,1000 tonnes,557
Domestic supply quantity,Barley and products,2007,1000 tonnes,989
Domestic supply quantity,Barley and products,2008,1000 tonnes,1037
Domestic supply quantity,Barley and products,2009,1000 tonnes,1636
Domestic supply quantity,Barley and products,2010,1000 tonnes,1321
Domestic supply quantity,Barley and products,2011,1000 tonnes,1608
Domestic supply quantity,Barley and products,2012,1000 tonnes,1533
Domestic supply quantity,Barley and products,2013,1000 tonnes,1226
Feed,Barley and products,2007,1000 tonnes,120
Feed,Barley and products,2008,1000 tonnes,108
Feed,Barley and products,2009,1000 tonnes,152
Feed,Barley and products,2010,1000 tonnes,122
Feed,Barley and products,2011,1000 tonnes,150
Feed,Barley and products,2012,1000 tonnes,149
Feed,Barley and products,2013,1000 tonnes,158
Seed,Barley and products,2007,1000 tonnes,72
Seed,Barley and products,2008,1000 tonnes,85
Seed,Barley and products,2009,1000 tonnes,75
Seed,Barley and products,2010,1000 tonnes,85
Seed,Barley and products,2011,1000 tonnes,92
Seed,Barley and products,2012,1000 tonnes,94
Seed,Barley and products,2013,1000 tonnes,97
Losses,Barley and products,2007,1000 tonnes,27
Losses,Barley and products,2008,1000 tonnes,24
Losses,Barley and products,2009,1000 tonnes,34
Losses,Barley and products,2010,1000 tonnes,27
Losses,Barley and products,2011,1000 tonnes,33
Losses,Barley and products,2012,1000 tonnes,33
Losses,Barley and products,2013,1000 tonnes,35
Processing,Barley and products,2007,1000 tonnes,79
Processing,Barley and products,2008,1000 tonnes,80
Processing,Barley and products,2009,1000 tonnes,99
Processing,Barley and products,2010,1000 tonnes,103
Processing,Barley and products,2011,1000 tonnes,116
Processing,Barley and products,2012,1000 tonnes,105
Processing,Barley and products,2013,1000 tonnes,102
Food,Barley and products,2007,1000 tonnes,691
Food,Barley and products,2008,1000 tonnes,740
Food,Barley and products,2009,1000 tonnes,1276
Food,Barley and products,2010,1000 tonnes,984
Food,Barley and products,2011,1000 tonnes,1217
Food,Barley and products,2012,1000 tonnes,1152
Food,Barley and products,2013,1000 tonnes,835
Food supply quantity (kg/capita/yr),Barley and products,2007,kg,0.6
Food supply quantity (kg/capita/yr),Barley and products,2008,kg,0.63
Food supply quantity (kg/capita/yr),Barley and products,2009,kg,1.07
Food supply quantity (kg/capita/yr),Barley and products,2010,kg,0.82
Food supply quantity (kg/capita/yr),Barley and products,2011,kg,1
Food supply quantity (kg/capita/yr),Barley and products,2012,kg,0.93
Food supply quantity (kg/capita/yr),Barley and products,2013,kg,0.67
Food supply (kcal/capita/day),Barley and products,2007,kcal/capita/day,4
Food supply (kcal/capita/day),Barley and products,2008,kcal/capita/day,4
Food supply (kcal/capita/day),Barley and products,2009,kcal/capita/day,7
Food supply (kcal/capita/day),Barley and products,2010,kcal/capita/day,5
Food supply (kcal/capita/day),Barley and products,2011,kcal/capita/day,7
Food supply (kcal/capita/day),Barley and products,2012,kcal/capita/day,6
Food supply (kcal/capita/day),Barley and products,2013,kcal/capita/day,4
Protein supply quantity (g/capita/day),Barley and products,2007,g/capita/day,0.1
Protein supply quantity (g/capita/day),Barley and products,2008,g/capita/day,0.11
Protein supply quantity (g/capita/day),Barley and products,2009,g/capita/day,0.18
Protein supply quantity (g/capita/day),Barley and products,2010,g/capita/day,0.14
Protein supply quantity (g/capita/day),Barley and products,2011,g/capita/day,0.17
Protein supply quantity (g/capita/day),Barley and products,2012,g/capita/day,0.16
Protein supply quantity (g/capita/day),Barley and products,2013,g/capita/day,0.11
Fat supply quantity (g/capita/day),Barley and products,2007,g/capita/day,0.02
Fat supply quantity (g/capita/day),Barley and products,2008,g/capita/day,0.02
Fat supply quantity (g/capita/day),Barley and products,2009,g/capita/day,0.03
Fat supply quantity (g/capita/day),Barley and products,2010,g/capita/day,0.02
Fat supply quantity (g/capita/day),Barley and products,2011,g/capita/day,0.03
Fat supply quantity (g/capita/day),Barley and products,2012,g/capita/day,0.02
Fat supply quantity (g/capita/day),Barley and products,2013,g/capita/day,0.02
Production,Maize and products,2007,1000 tonnes,18955
Production,Maize and products,2008,1000 tonnes,19731
Production,Maize and products,2009,1000 tonnes,16720
Production,Maize and products,2010,1000 tonnes,21726
Production,Maize and products,2011,1000 tonnes,21760
Production,Maize and products,2012,1000 tonnes,22260
Production,Maize and products,2013,1000 tonnes,23290
Import Quantity,Maize and products,2007,1000 tonnes,7
Import Quantity,Maize and products,2008,1000 tonnes,10
Import Quantity,Maize and products,2009,1000 tonnes,24
Import Quantity,Maize and products,2010,1000 tonnes,10
Import Quantity,Maize and products,2011,1000 tonnes,17
Import Quantity,Maize and products,2012,1000 tonnes,9
Import Quantity,Maize and products,2013,1000 tonnes,17
Stock Variation,Maize and products,2007,1000 tonnes,0
Stock Variation,Maize and products,2008,1000 tonnes,0
Stock Variation,Maize and products,2009,1000 tonnes,500
Stock Variation,Maize and products,2010,1000 tonnes,-2000
Stock Variation,Maize and products,2011,1000 tonnes,0
Stock Variation,Maize and products,2012,1000 tonnes,0
Stock Variation,Maize and products,2013,1000 tonnes,0
Export Quantity,Maize and products,2007,1000 tonnes,2799
Export Quantity,Maize and products,2008,1000 tonnes,3624
Export Quantity,Maize and products,2009,1000 tonnes,2673
Export Quantity,Maize and products,2010,1000 tonnes,2376
Export Quantity,Maize and products,2011,1000 tonnes,4129
Export Quantity,Maize and products,2012,1000 tonnes,4537
Export Quantity,Maize and products,2013,1000 tonnes,5119
Domestic supply quantity,Maize and products,2007,1000 tonnes,16163
Domestic supply quantity,Maize and products,2008,1000 tonnes,16118
Domestic supply quantity,Maize and products,2009,1000 tonnes,14571
Domestic supply quantity,Maize and products,2010,1000 tonnes,17359
Domestic supply quantity,Maize and products,2011,1000 tonnes,17648
Domestic supply quantity,Maize and products,2012,1000 tonnes,17732
Domestic supply quantity,Maize and products,2013,1000 tonnes,18188
Feed,Maize and products,2007,1000 tonnes,5119
Feed,Maize and products,2008,1000 tonnes,5329
Feed,Maize and products,2009,1000 tonnes,4654
Feed,Maize and products,2010,1000 tonnes,6520
Feed,Maize and products,2011,1000 tonnes,6532
Feed,Maize and products,2012,1000 tonnes,6679
Feed,Maize and products,2013,1000 tonnes,6990
Seed,Maize and products,2007,1000 tonnes,899
Seed,Maize and products,2008,1000 tonnes,909
Seed,Maize and products,2009,1000 tonnes,941
Seed,Maize and products,2010,1000 tonnes,966
Seed,Maize and products,2011,1000 tonnes,958
Seed,Maize and products,2012,1000 tonnes,1045
Seed,Maize and products,2013,1000 tonnes,946
Losses,Maize and products,2007,1000 tonnes,1896
Losses,Maize and products,2008,1000 tonnes,1974
Losses,Maize and products,2009,1000 tonnes,1724
Losses,Maize and products,2010,1000 tonnes,2173
Losses,Maize and products,2011,1000 tonnes,2177
Losses,Maize and products,2012,1000 tonnes,2226
Losses,Maize and products,2013,1000 tonnes,2330
Processing,Maize and products,2007,1000 tonnes,0
Processing,Maize and products,2008,1000 tonnes,0
Processing,Maize and products,2009,1000 tonnes,0
Processing,Maize and products,2010,1000 tonnes,0
Processing,Maize and products,2011,1000 tonnes,0
Processing,Maize and products,2012,1000 tonnes,0
Processing,Maize and products,2013,1000 tonnes,0
Other uses,Maize and products,2007,1000 tonnes,48
Other uses,Maize and products,2008,1000 tonnes,61
Other uses,Maize and products,2009,1000 tonnes,58
Other uses,Maize and products,2010,1000 tonnes,18
Other uses,Maize and products,2011,1000 tonnes,38
Other uses,Maize and products,2012,1000 tonnes,24
Other uses,Maize and products,2013,1000 tonnes,45
Food,Maize and products,2007,1000 tonnes,8200
Food,Maize and products,2008,1000 tonnes,7845
Food,Maize and products,2009,1000 tonnes,7194
Food,Maize and products,2010,1000 tonnes,7682
Food,Maize and products,2011,1000 tonnes,7943
Food,Maize and products,2012,1000 tonnes,7759
Food,Maize and products,2013,1000 tonnes,7876
Food supply quantity (kg/capita/yr),Maize and products,2007,kg,7.07
Food supply quantity (kg/capita/yr),Maize and products,2008,kg,6.68
Food supply quantity (kg/capita/yr),Maize and products,2009,kg,6.04
Food supply quantity (kg/capita/yr),Maize and products,2010,kg,6.37
Food supply quantity (kg/capita/yr),Maize and products,2011,kg,6.5
Food supply quantity (kg/capita/yr),Maize and products,2012,kg,6.27
Food supply quantity (kg/capita/yr),Maize and products,2013,kg,6.29
Food supply (kcal/capita/day),Maize and products,2007,kcal/capita/day,58
Food supply (kcal/capita/day),Maize and products,2008,kcal/capita/day,55
Food supply (kcal/capita/day),Maize and products,2009,kcal/capita/day,50
Food supply (kcal/capita/day),Maize and products,2010,kcal/capita/day,52
Food supply (kcal/capita/day),Maize and products,2011,kcal/capita/day,53
Food supply (kcal/capita/day),Maize and products,2012,kcal/capita/day,51
Food supply (kcal/capita/day),Maize and products,2013,kcal/capita/day,52
Protein supply quantity (g/capita/day),Maize and products,2007,g/capita/day,1.45
Protein supply quantity (g/capita/day),Maize and products,2008,g/capita/day,1.37
Protein supply quantity (g/capita/day),Maize and products,2009,g/capita/day,1.24
Protein supply quantity (g/capita/day),Maize and products,2010,g/capita/day,1.31
Protein supply quantity (g/capita/day),Maize and products,2011,g/capita/day,1.33
Protein supply quantity (g/capita/day),Maize and products,2012,g/capita/day,1.29
Protein supply quantity (g/capita/day),Maize and products,2013,g/capita/day,1.29
Fat supply quantity (g/capita/day),Maize and products,2007,g/capita/day,0.72
Fat supply quantity (g/capita/day),Maize and products,2008,g/capita/day,0.68
Fat supply quantity (g/capita/day),Maize and products,2009,g/capita/day,0.61
Fat supply quantity (g/capita/day),Maize and products,2010,g/capita/day,0.64
Fat supply quantity (g/capita/day),Maize and products,2011,g/capita/day,0.66
Fat supply quantity (g/capita/day),Maize and products,2012,g/capita/day,0.64
Fat supply quantity (g/capita/day),Maize and products,2013,g/capita/day,0.64
Production,Millet and products,2007,1000 tonnes,12673
Production,Millet and products,2008,1000 tonnes,11372
Production,Millet and products,2009,1000 tonnes,8777
Production,Millet and products,2010,1000 tonnes,13293
Production,Millet and products,2011,1000 tonnes,12660
Production,Millet and products,2012,1000 tonnes,10750
Production,Millet and products,2013,1000 tonnes,10910
Import Quantity,Millet and products,2007,1000 tonnes,0
Import Quantity,Millet and products,2008,1000 tonnes,0
Import Quantity,Millet and products,2009,1000 tonnes,0
Import Quantity,Millet and products,2010,1000 tonnes,1
Import Quantity,Millet and products,2011,1000 tonnes,0
Import Quantity,Millet and products,2012,1000 tonnes,0
Import Quantity,Millet and products,2013,1000 tonnes,0
Stock Variation,Millet and products,2007,1000 tonnes,-1200
Stock Variation,Millet and products,2008,1000 tonnes,-300
Stock Variation,Millet and products,2009,1000 tonnes,1500
Stock Variation,Millet and products,2010,1000 tonnes,-1500
Stock Variation,Millet and products,2011,1000 tonnes,-500
Stock Variation,Millet and products,2012,1000 tonnes,0
Stock Variation,Millet and products,2013,1000 tonnes,0
Export Quantity,Millet and products,2007,1000 tonnes,105
Export Quantity,Millet and products,2008,1000 tonnes,186
Export Quantity,Millet and products,2009,1000 tonnes,137
Export Quantity,Millet and products,2010,1000 tonnes,157
Export Quantity,Millet and products,2011,1000 tonnes,133
Export Quantity,Millet and products,2012,1000 tonnes,109
Export Quantity,Millet and products,2013,1000 tonnes,83
Domestic supply quantity,Millet and products,2007,1000 tonnes,11368
Domestic supply quantity,Millet and products,2008,1000 tonnes,10885
Domestic supply quantity,Millet and products,2009,1000 tonnes,10139
Domestic supply quantity,Millet and products,2010,1000 tonnes,11637
Domestic supply quantity,Millet and products,2011,1000 tonnes,12027
Domestic supply quantity,Millet and products,2012,1000 tonnes,10641
Domestic supply quantity,Millet and products,2013,1000 tonnes,10827
Feed,Millet and products,2007,1000 tonnes,203
Feed,Millet and products,2008,1000 tonnes,182
Feed,Millet and products,2009,1000 tonnes,164
Feed,Millet and products,2010,1000 tonnes,266
Feed,Millet and products,2011,1000 tonnes,253
Feed,Millet and products,2012,1000 tonnes,215
Feed,Millet and products,2013,1000 tonnes,218
Seed,Millet and products,2007,1000 tonnes,331
Seed,Millet and products,2008,1000 tonnes,330
Seed,Millet and products,2009,1000 tonnes,354
Seed,Millet and products,2010,1000 tonnes,320
Seed,Millet and products,2011,1000 tonnes,273
Seed,Millet and products,2012,1000 tonnes,276
Seed,Millet and products,2013,1000 tonnes,264
Losses,Millet and products,2007,1000 tonnes,610
Losses,Millet and products,2008,1000 tonnes,554
Losses,Millet and products,2009,1000 tonnes,503
Losses,Millet and products,2010,1000 tonnes,637
Losses,Millet and products,2011,1000 tonnes,616
Losses,Millet and products,2012,1000 tonnes,527
Losses,Millet and products,2013,1000 tonnes,535
Food,Millet and products,2007,1000 tonnes,10224
Food,Millet and products,2008,1000 tonnes,9819
Food,Millet and products,2009,1000 tonnes,9118
Food,Millet and products,2010,1000 tonnes,10414
Food,Millet and products,2011,1000 tonnes,10884
Food,Millet and products,2012,1000 tonnes,9622
Food,Millet and products,2013,1000 tonnes,9810
Food supply quantity (kg/capita/yr),Millet and products,2007,kg,8.82
Food supply quantity (kg/capita/yr),Millet and products,2008,kg,8.36
Food supply quantity (kg/capita/yr),Millet and products,2009,kg,7.66
Food supply quantity (kg/capita/yr),Millet and products,2010,kg,8.64
Food supply quantity (kg/capita/yr),Millet and products,2011,kg,8.91
Food supply quantity (kg/capita/yr),Millet and products,2012,kg,7.78
Food supply quantity (kg/capita/yr),Millet and products,2013,kg,7.83
Food supply (kcal/capita/day),Millet and products,2007,kcal/capita/day,75
Food supply (kcal/capita/day),Millet and products,2008,kcal/capita/day,71
Food supply (kcal/capita/day),Millet and products,2009,kcal/capita/day,65
Food supply (kcal/capita/day),Millet and products,2010,kcal/capita/day,74
Food supply (kcal/capita/day),Millet and products,2011,kcal/capita/day,76
Food supply (kcal/capita/day),Millet and products,2012,kcal/capita/day,66
Food supply (kcal/capita/day),Millet and products,2013,kcal/capita/day,67
Protein supply quantity (g/capita/day),Millet and products,2007,g/capita/day,2.18
Protein supply quantity (g/capita/day),Millet and products,2008,g/capita/day,2.07
Protein supply quantity (g/capita/day),Millet and products,2009,g/capita/day,1.89
